,comapny_name,company_rating,company_type,head_quarters,No_of_Employee
0,TCS,3.8,IT Services & Consulting,Mumbai,1 Lakh+ Employees
1,Accenture,4.0,IT Services & Consulting,Dublin,1 Lakh+ Employees
2,Cognizant,3.9,IT Services & Consulting,Teaneck. New Jersey.,1 Lakh+ Employees
3,Wipro,3.8,IT Services & Consulting,Bangalore/Bengaluru,1 Lakh+ Employees
4,HDFC Bank,3.9,Banking,Mumbai,1 Lakh+ Employees
5,ICICI Bank,4.0,Banking,Mumbai,1 Lakh+ Employees
6,Infosys,3.8,IT Services & Consulting,Bengaluru/Bangalore,1 Lakh+ Employees
7,Capgemini,3.8,IT Services & Consulting,Paris,1 Lakh+ Employees
8,HCLTech,3.6,IT Services & Consulting,Noida,1 Lakh+ Employees
9,Tech Mahindra,3.7,IT Services & Consulting,Pune,1 Lakh+ Employees
10,Genpact,3.9,IT Services & Consulting,New York,1 Lakh+ Employees
11,Axis Bank,3.8,Banking,Mumbai,50k-1 Lakh Employees
12,Teleperformance,3.6,BPO,Paris,50k-1 Lakh Employees
13,Concentrix Corporation,3.9,BPO,Fremont,50k-1 Lakh Employees
14,Reliance Jio,4.0,Telecom,Navi Mumbai,50k-1 Lakh Employees
15,Amazon,4.1,Internet,Seattle,1 Lakh+ Employees
16,IBM,4.1,IT Services & Consulting,Armonk,1 Lakh+ Employees
17,Larsen & Toubro Limited,4.0,Engineering & Construction,Mumbai,10k-50k Employees
18,Reliance Retail,3.9,Retail,Navi Mumbai,1 Lakh+ Employees
19,HDB Financial Services,4.0,NBFC,Ahmedabad,1 Lakh+ Employees
20,Vodafone Idea,4.2,Telecom,Mumbai,5k-10k Employees
21,BYJU'S,3.1,EdTech,Bangalore,10k-50k Employees
22,Kotak Mahindra Bank,3.8,Banking,Mumbai,50k-1 Lakh Employees
23,Deloitte,3.9,Management Consulting,London,1 Lakh+ Employees
24,Reliance Industries,4.0,Oil & Gas,Navi Mumbai,1 Lakh+ Employees
25,Bharti Airtel,4.0,Telecom,Gurgaon/Gurugram,10k-50k Employees
26,iEnergizer,4.6,BPO,Noida,10k-50k Employees
27,Tata Motors,4.2,Automobile,Pune,10k-50k Employees
28,Flipkart,4.1,Internet,Bangalore,10k-50k Employees
29,WNS,3.5,BPO,Mumbai,10k-50k Employees
30,IndusInd Bank,3.7,Banking,Gurgaon/Gurugram,10k-50k Employees
31,Ernst & Young,3.6,Management Consulting,London,50k-1 Lakh Employees
32,AU Small Finance Bank,4.5,Banking,Jaipur,10k-50k Employees
33,Mahindra & Mahindra,4.2,Automobile,Mumbai,1 Lakh+ Employees
34,Infosys BPM,3.9,BPO,Bangalore/Bengaluru,10k-50k Employees
35,DXC Technology,3.8,IT Services & Consulting,Minato,10k-50k Employees
36,IDFC FIRST Bank,4.0,Banking,Mumbai,10k-50k Employees
37,Conneqt Business Solutions,3.7,BPO,Mumbai,10k-50k Employees
38,HDFC Life,4.1,Insurance,Mumbai,10k-50k Employees
39,LTIMindtree,3.7,IT Services & Consulting,Bangalore/Bengaluru,50k-1 Lakh Employees
40,Bajaj Finserv,4.0,Financial Services,Pune,50k-1 Lakh Employees
41,Mphasis,3.5,IT Services & Consulting,Bangalore/Bengaluru,10k-50k Employees
42,PwC,3.6,Management Consulting,London,10k-50k Employees
43,HSBC Group,4.1,Banking,Pune,10k-50k Employees
44,Startek,3.2,BPO,Mumbai,10k-50k Employees
45,Hinduja Global Solutions,3.9,IT Services & Consulting,Bangalore/Bengaluru,10k-50k Employees
46,Samsung,4.1,Consumer Electronics & Appliances,Seoul,50k-1 Lakh Employees
47,Maruti Suzuki,4.2,Automobile,New Delhi,10k-50k Employees
48,Ericsson,4.3,Telecom,Stockholm,10k-50k Employees
49,Shriram Finance,4.1,NBFC,Mumbai,50k-1 Lakh Employees
50,Asian Paints,4.0,Chemicals,Mumbai,5k-10k Employees
51,Yes Bank,3.9,Banking,Mumbai,10k-50k Employees
52,Cipla Pharmaceutical,4.1,Pharma,Mumbai,10k-50k Employees
53,Dr. Reddy's,4.1,Pharma,Hyderabad/Secunderabad,10k-50k Employees
54,Sutherland Global Services,3.7,IT Services & Consulting,Pittsford,10k-50k Employees
55,Bandhan Bank,3.8,Banking,Kolkata,50k-1 Lakh Employees
56,UltraTech Cement,4.2,Building Material,Mumbai,10k-50k Employees
57,EXL Service,3.8,Analytics & KPO,New York City,10k-50k Employees
58,Paytm,3.4,FinTech,Noida,10k-50k Employees
59,NTT DATA,4.0,IT Services & Consulting,Chiyoda City,10k-50k Employees
60,ICICI Prudential Life Insurance,4.1,Insurance,Mumbai,10k-50k Employees
61,Jana Small Finance Bank,3.8,Banking,Bangalore/Bengaluru,10k-50k Employees
62,Bajaj Finance,4.0,NBFC,Pune,10k-50k Employees
63,TATA Steel,4.1,Iron & Steel,Mumbai,1 Lakh+ Employees
64,Lupin,4.1,Pharma,Mumbai,1k-5k Employees
65,Indian Army,4.7,Defence & Aerospace,New Delhi,1 Lakh+ Employees
66,HCL Group,3.7,IT Services & Consulting,Chennai,1 Lakh+ Employees
67,Udaan,4.0,Internet,Bangalore,1k-5k Employees
68,L&T Infotech,3.8,IT Services & Consulting,Mumbai,10k-50k Employees
69,ITC,3.9,FMCG,Kolkata,10k-50k Employees
70,Quess,3.9,BPO,Bangalore,1k-5k Employees
