,BusinessPersonName,DetailsLinks
0,M. M. Abdul Hameed,https://en.wikipedia.org//wiki/M._M._Abdul_Hameed
1,Esther Victoria Abraham,https://en.wikipedia.org//wiki/Esther_Victoria_Abraham
2,Gautam Adani,https://en.wikipedia.org//wiki/Gautam_Adani
3,Sivanthi Adithan,https://en.wikipedia.org//wiki/Sivanthi_Adithan
4,Anu Aga,https://en.wikipedia.org//wiki/Anu_Aga
5,Ashutosh Agashe,https://en.wikipedia.org//wiki/Ashutosh_Agashe
6,Chandrashekhar Agashe,https://en.wikipedia.org//wiki/Chandrashekhar_Agashe
7,Dnyaneshwar Agashe,https://en.wikipedia.org//wiki/Dnyaneshwar_Agashe
8,Mandar Agashe,https://en.wikipedia.org//wiki/Mandar_Agashe
9,Panditrao Agashe,https://en.wikipedia.org//wiki/Panditrao_Agashe
10,Anil Ambani,https://en.wikipedia.org//wiki/Anil_Ambani
11,Navodaya Appachan,https://en.wikipedia.org//wiki/Navodaya_Appachan
12,Raji Arasu,https://en.wikipedia.org//wiki/Raji_Arasu
13,Arthur Froom,https://en.wikipedia.org//wiki/Arthur_Froom
14,Shabnam Asthana,https://en.wikipedia.org//wiki/Shabnam_Asthana
15,Zubaida Bai,https://en.wikipedia.org//wiki/Zubaida_Bai
16,Achal Bakeri,https://en.wikipedia.org//wiki/Achal_Bakeri
17,Vinita Bali,https://en.wikipedia.org//wiki/Vinita_Bali
18,Binny Bansal,https://en.wikipedia.org//wiki/Binny_Bansal
19,Hemendra Prasad Barooah,https://en.wikipedia.org//wiki/Hemendra_Prasad_Barooah
20,Kamal Kumari Barooah,https://en.wikipedia.org//wiki/Kamal_Kumari_Barooah
21,Vallabh Bhanshali,https://en.wikipedia.org//wiki/Vallabh_Bhanshali
22,P. Bhanumathi,https://en.wikipedia.org//wiki/P._Bhanumathi
23,Uddhab Bharali,https://en.wikipedia.org//wiki/Uddhab_Bharali
24,Shobhana Bhartia,https://en.wikipedia.org//wiki/Shobhana_Bhartia
25,Sunil Bhaskaran,https://en.wikipedia.org//wiki/Sunil_Bhaskaran
26,Sheila Bhatia,https://en.wikipedia.org//wiki/Sheila_Bhatia
27,Ela Bhatt,https://en.wikipedia.org//wiki/Ela_Bhatt
28,Mukesh Bhatt,https://en.wikipedia.org//wiki/Mukesh_Bhatt
29,Arundhati Bhattacharya,https://en.wikipedia.org//wiki/Arundhati_Bhattacharya
30,Jeroo Billimoria,https://en.wikipedia.org//wiki/Jeroo_Billimoria
31,Aditya Vikram Birla,https://en.wikipedia.org//wiki/Aditya_Vikram_Birla
32,Ganga Prasad Birla,https://en.wikipedia.org//wiki/Ganga_Prasad_Birla
33,Rajashree Birla,https://en.wikipedia.org//wiki/Rajashree_Birla
34,William Nanda Bissell,https://en.wikipedia.org//wiki/William_Nanda_Bissell
35,Sudhakar Bokade,https://en.wikipedia.org//wiki/Sudhakar_Bokade
36,Shabbir Boxwala,https://en.wikipedia.org//wiki/Shabbir_Boxwala
37,Brijmohan Lall Munjal,https://en.wikipedia.org//wiki/Brijmohan_Lall_Munjal
38,Urvashi Butalia,https://en.wikipedia.org//wiki/Urvashi_Butalia
39,H. M. Cassime,https://en.wikipedia.org//wiki/H._M._Cassime
40,Rohit Chadda,https://en.wikipedia.org//wiki/Rohit_Chadda
41,Ponty Chadha,https://en.wikipedia.org//wiki/Ponty_Chadha
42,Anand Chandrasekaran,https://en.wikipedia.org//wiki/Anand_Chandrasekaran
43,Shoba Chandrasekhar,https://en.wikipedia.org//wiki/Shoba_Chandrasekhar
44,Kamaladevi Chattopadhyay,https://en.wikipedia.org//wiki/Kamaladevi_Chattopadhyay
45,Nand Kishore Chaudhary,https://en.wikipedia.org//wiki/Nand_Kishore_Chaudhary
46,Purushottam K. Chauhan,https://en.wikipedia.org//wiki/Purushottam_K._Chauhan
47,Juhi Chawla,https://en.wikipedia.org//wiki/Juhi_Chawla
48,Alagappa Chettiar,https://en.wikipedia.org//wiki/Alagappa_Chettiar
49,M. A. Chidambaram,https://en.wikipedia.org//wiki/M._A._Chidambaram
50,Pamela Chopra,https://en.wikipedia.org//wiki/Pamela_Chopra
51,Santosh Choubey,https://en.wikipedia.org//wiki/Santosh_Choubey
52,J A Chowdary,https://en.wikipedia.org//wiki/J_A_Chowdary
53,Eulie Chowdhury,https://en.wikipedia.org//wiki/Eulie_Chowdhury
54,Seetha Coleman-Kammula,https://en.wikipedia.org//wiki/Seetha_Coleman-Kammula
55,Sylvester da Cunha,https://en.wikipedia.org//wiki/Sylvester_da_Cunha
56,Sharayu Daftary,https://en.wikipedia.org//wiki/Sharayu_Daftary
57,Shirin Darasha,https://en.wikipedia.org//wiki/Shirin_Darasha
58,Alamohan Das,https://en.wikipedia.org//wiki/Alamohan_Das
59,C. D. Deshmukh,https://en.wikipedia.org//wiki/C._D._Deshmukh
60,Sulabha Deshpande,https://en.wikipedia.org//wiki/Sulabha_Deshpande
61,Anjali Devi,https://en.wikipedia.org//wiki/Anjali_Devi
62,Geeta Dharmarajan,https://en.wikipedia.org//wiki/Geeta_Dharmarajan
63,Doddanna Setty,https://en.wikipedia.org//wiki/Doddanna_Setty
64,Tanya Dubash,https://en.wikipedia.org//wiki/Tanya_Dubash
65,C. Aswani Dutt,https://en.wikipedia.org//wiki/C._Aswani_Dutt
66,Dajikaka Gadgil,https://en.wikipedia.org//wiki/Dajikaka_Gadgil
67,Kailash Chandra Gahtori,https://en.wikipedia.org//wiki/Kailash_Chandra_Gahtori
68,Galla Aruna Kumari,https://en.wikipedia.org//wiki/Galla_Aruna_Kumari
69,Shanta Gandhi,https://en.wikipedia.org//wiki/Shanta_Gandhi
70,Ashok Sekhar Ganguly,https://en.wikipedia.org//wiki/Ashok_Sekhar_Ganguly
71,Andrew Geddis,https://en.wikipedia.org//wiki/Andrew_Geddis
72,Vasantrao Ghatge,https://en.wikipedia.org//wiki/Vasantrao_Ghatge
73,A. Y. S. Gnanam,https://en.wikipedia.org//wiki/A._Y._S._Gnanam
74,Adi Godrej,https://en.wikipedia.org//wiki/Adi_Godrej
75,Ardeshir Godrej,https://en.wikipedia.org//wiki/Ardeshir_Godrej
76,Rohtas Goel,https://en.wikipedia.org//wiki/Rohtas_Goel
77,Sita Ram Goel,https://en.wikipedia.org//wiki/Sita_Ram_Goel
78,Jyoti Gogte,https://en.wikipedia.org//wiki/Jyoti_Gogte
79,Raosaheb Gogte,https://en.wikipedia.org//wiki/Raosaheb_Gogte
80,Gokuldas Malpani,https://en.wikipedia.org//wiki/Gokuldas_Malpani
81,Gita Gopinath,https://en.wikipedia.org//wiki/Gita_Gopinath
82,Shyamala Gopinath,https://en.wikipedia.org//wiki/Shyamala_Gopinath
