Id,Requester id,Group,Status,Priority,Via,Created at,Updated at,Assigned at,Initially assigned at,Solved at,Resolution time,Satisfaction Score,Reopens,Replies,First reply time in minutes within business hours,First resolution time in minutes,First resolution time in minutes within business hours,Full resolution time in minutes,Full resolution time in minutes within business hours,Requester wait time in minutes,Requester wait time in minutes within business hours,Manual Tagging of Categories [list]
297732,10300555531549,Support,Solved,Low,Mail,08-04-2023 20:52,14-06-2023 16:30,09-04-2023 10:28,09-04-2023 10:28,14-06-2023 16:30,1604,Offered,11,11,173,12975,6488,96218,47978,17853,8516,Is my treatment covered (IMTC)
311457,10420228868125,Reimbursement Claims,Closed,Low,Mail,24-04-2023 19:32,15-06-2023 16:37,25-04-2023 10:18,25-04-2023 10:18,26-05-2023 16:26,765,,10,10,1527,2984,1527,45893,22853,30113,15139,-
329907,10991633548957,Support,Solved,Low,Mail,16-05-2023 17:43,30-05-2023 14:56,16-05-2023 18:18,16-05-2023 18:18,30-05-2023 14:56,333,4,10,11,61,1563,843,19993,9913,7115,3335,Claims
301553,10376247288477,Support,Solved,Low,Mail,13-04-2023 11:03,15-06-2023 20:55,13-04-2023 13:04,13-04-2023 13:04,15-06-2023 20:55,1522,Offered,9,9,381,2888,1448,91313,45953,18221,9401,Claims
310966,7302858920989,Support,Closed,Low,Mail,24-04-2023 13:21,08-06-2023 18:37,27-04-2023 14:48,24-04-2023 13:48,19-05-2023 18:25,605,4,9,9,37,37,37,36304,17739,7427,4008,Claims
327745,10943518736797,Support,Solved,Low,Mail,14-05-2023 11:54,07-06-2023 17:55,14-05-2023 12:53,14-05-2023 12:53,07-06-2023 17:55,582,1,9,6,62,411,411,34921,17641,3708,2088,Claims
295978,6763878549661,Onboardings,Closed,Low,Mail,06-04-2023 14:46,31-05-2023 06:09,06-04-2023 14:58,06-04-2023 14:58,02-05-2023 12:23,622,,8,8,4070,5832,2952,37297,18577,9779,4739,-
296254,10264923488797,Support,Closed,Low,Mail,06-04-2023 18:02,03-06-2023 06:08,06-04-2023 18:13,06-04-2023 18:13,05-05-2023 12:17,690,Offered,8,10,67,5456,2576,41415,20535,13311,6831,Claims
305159,10449860988189,Support,Solved,Low,Mail,17-04-2023 18:05,07-06-2023 19:58,18-04-2023 08:51,18-04-2023 08:51,07-06-2023 19:58,1226,4,8,10,356,11038,5278,73553,36833,19107,9027,Claims
317147,9962972286365,Support,Closed,Low,Internal Communication,02-05-2023 10:55,07-06-2023 10:35,02-05-2023 11:22,02-05-2023 11:22,18-05-2023 09:36,383,Offered,8,7,221,42,42,22961,11441,7367,3047,-
291916,10179955323421,Support,Closed,Low,Mail,02-04-2023 17:16,07-06-2023 07:36,12-05-2023 14:25,02-04-2023 20:28,16-05-2023 14:30,1053,Offered,7,14,202,1155,435,63194,31514,22868,11348,Claims
292980,10201969224861,Reimbursement Claims,Closed,Low,Mail,03-04-2023 19:47,06-06-2023 06:12,04-04-2023 10:20,04-04-2023 10:20,08-05-2023 14:19,835,,7,13,792,4184,2024,50072,24872,44958,22489,-
295143,10243349132061,Support,Closed,Low,Mail,05-04-2023 19:04,13-06-2023 19:38,18-04-2023 15:37,05-04-2023 19:20,24-05-2023 18:43,1176,1,7,20,57,5843,2963,70539,35259,64456,32055,Claims
297731,7302685672221,Support,Closed,Low,Mail,08-04-2023 20:49,27-05-2023 06:08,09-04-2023 10:28,09-04-2023 10:28,28-04-2023 15:33,475,4,7,6,150,6743,3143,28484,14084,13436,6047,Health ID
